,value
experiment,UNRATE_delta_AR1_h12
target_name,ΔUNRATE
is_stationary_input,True
freq,MS
y_start,1960-01-01
y_end,1989-11-01
y_length,359
model,AR
order_p,1
const_included,c
trained_until,1988-11-01
horizon,12
windowing,expanding
min_train_n,36
eval_start,1983-01-01
eval_end,1989-12-31
n_eval,83
aic,164.6473364963893
bic,176.18665282156246
mae_83_89,0.9775539701031503
rmse_83_89,1.4610097145509617
r2_83_89,-1.7237671605297926
last_params_json,"{""const"": 0.0010156398959190413, ""UNRATE.L1"": 0.9632775685800089}"
created_at_utc,2025-10-17T17:07:47.797653+00:00
python_version,3.12.6
pandas_version,2.3.3
statsmodels_version,0.14.5
numpy_version,2.3.2
platform,Windows-11-10.0.26100-SP0
