periode,m1,m2,n,DM,pval,sig
1990,AR(1),AR(p),12,4.502031544125028,6.730698895118792e-06,***
1990,AR(1),LightGBM + Bagging,12,1.9045897680397617,0.0568334176717884,*
1990,AR(1),LinearRegression,12,0.9658397936609855,0.3341243527386202,
1990,AR(1),Ridge + Bagging,12,2.7620471528425306,0.005744018220983804,***
1990,AR(p),LightGBM + Bagging,12,1.10812402263881,0.26780825753121995,
1990,AR(p),LinearRegression,12,0.04136997779407469,0.9670009465485732,
1990,AR(p),Ridge + Bagging,12,1.49321079777109,0.1353820165315911,
1990,LightGBM + Bagging,LinearRegression,12,-2.9441345546039637,0.0032385916542665427,***
1990,LightGBM + Bagging,Ridge + Bagging,12,-0.23555141391902537,0.8137807786496678,
1990,LinearRegression,Ridge + Bagging,12,8.61995529774278,0.0,***
1991,AR(1),AR(p),12,-4.1859633637167795,2.8395915071310895e-05,***
1991,AR(1),LightGBM + Bagging,12,-0.30254505921638297,0.7622365894905638,
1991,AR(1),LinearRegression,12,-0.5683464635603976,0.5697997350860549,
1991,AR(1),Ridge + Bagging,12,-0.016518149417855992,0.9868210229215406,
1991,AR(p),LightGBM + Bagging,12,0.18603390866756425,0.8524181701864679,
1991,AR(p),LinearRegression,12,-0.07500935983909796,0.9402072648001574,
1991,AR(p),Ridge + Bagging,12,0.5007025378569443,0.6165804859247273,
1991,LightGBM + Bagging,LinearRegression,12,-1.28690216548169,0.19812839043021624,
1991,LightGBM + Bagging,Ridge + Bagging,12,3.7182869683888096,0.00020057833983200268,***
1991,LinearRegression,Ridge + Bagging,12,4.155134336406957,3.250964790213473e-05,***
1992,AR(1),AR(p),12,-2.446966542788971,0.014406421150866766,**
1992,AR(1),LightGBM + Bagging,12,-5.66300925245912,1.4874113496432528e-08,***
1992,AR(1),LinearRegression,12,-5.111104024515424,3.2028155505514633e-07,***
1992,AR(1),Ridge + Bagging,12,-4.275596827377352,1.9062592703011916e-05,***
1992,AR(p),LightGBM + Bagging,12,-5.943999860522024,2.7814983649676606e-09,***
1992,AR(p),LinearRegression,12,-4.961395819421135,6.998840551553087e-07,***
1992,AR(p),Ridge + Bagging,12,-3.888698123612152,0.00010078338003349785,***
1992,LightGBM + Bagging,LinearRegression,12,2.087622024535245,0.03683194365855136,**
1992,LightGBM + Bagging,Ridge + Bagging,12,5.175247744166078,2.276087589514475e-07,***
1992,LinearRegression,Ridge + Bagging,12,7.416469422586382,1.2034817586936697e-13,***
1993,AR(1),AR(p),12,18.55660590177517,0.0,***
1993,AR(1),LightGBM + Bagging,12,16.692665416303214,0.0,***
1993,AR(1),LinearRegression,12,12.33528916112021,0.0,***
1993,AR(1),Ridge + Bagging,12,14.732959352367352,0.0,***
1993,AR(p),LightGBM + Bagging,12,6.419731174467851,1.365152435539585e-10,***
1993,AR(p),LinearRegression,12,2.5210077975483864,0.011701925893072396,**
1993,AR(p),Ridge + Bagging,12,2.7709772937899118,0.005588832395610588,***
1993,LightGBM + Bagging,LinearRegression,12,-3.7340560709369863,0.0001884205170894493,***
1993,LightGBM + Bagging,Ridge + Bagging,12,-5.625735224469269,1.847194996962287e-08,***
1993,LinearRegression,Ridge + Bagging,12,-1.8187692370428146,0.06894664356162483,*
1994,AR(1),AR(p),12,-2.055240156540029,0.039855814266986256,**
1994,AR(1),LightGBM + Bagging,12,-0.6226696000598658,0.533501663708364,
1994,AR(1),LinearRegression,12,-0.8728004126979828,0.38277187463825646,
1994,AR(1),Ridge + Bagging,12,-2.2833036685961567,0.022412487078420584,**
1994,AR(p),LightGBM + Bagging,12,4.969112535943034,6.726002768076e-07,***
1994,AR(p),LinearRegression,12,2.7036702651296136,0.006857830363095507,***
1994,AR(p),Ridge + Bagging,12,0.3596020295973916,0.7191447655847443,
1994,LightGBM + Bagging,LinearRegression,12,-0.5126113510087204,0.6082232114646584,
1994,LightGBM + Bagging,Ridge + Bagging,12,-6.106416738142266,1.0189276089533905e-09,***
1994,LinearRegression,Ridge + Bagging,12,-10.8661380617568,0.0,***
1995,AR(1),AR(p),12,-0.27897151531294734,0.7802666847708251,
1995,AR(1),LightGBM + Bagging,12,-1.2219433166663722,0.22172906319573693,
1995,AR(1),LinearRegression,12,-1.400867306240257,0.16125375698492173,
1995,AR(1),Ridge + Bagging,12,-1.3350757647302567,0.1818515505470053,
1995,AR(p),LightGBM + Bagging,12,-1.6164483206013955,0.10599741828472098,
1995,AR(p),LinearRegression,12,-2.319331137853478,0.020377088322701242,**
