periode,m1,m2,n,DM,pval,sig
1990–1999,AR(1),AR(p),120,-0.26512626326107935,0.7909121959099823,
1990–1999,AR(1),LinearRegression,120,-0.528087156820617,0.5974388444567627,
1990–1999,AR(1),Ridge + Bagging,120,-0.07860237525853432,0.9373488982035292,
1990–1999,AR(p),LinearRegression,120,-0.5499986099754455,0.5823203269778159,
1990–1999,AR(p),Ridge + Bagging,120,0.08771527381340492,0.9301029796691245,
1990–1999,LinearRegression,Ridge + Bagging,120,1.7092026125193385,0.08741342511648575,*
2000–juillet 2008,AR(1),AR(p),103,0.7969641592464641,0.4254718469480796,
2000–juillet 2008,AR(1),LinearRegression,103,0.6652817575099302,0.5058702963342889,
2000–juillet 2008,AR(1),Ridge + Bagging,103,0.8485937972387517,0.39610735963831756,
2000–juillet 2008,AR(p),LinearRegression,103,0.20412027746630862,0.838259508790278,
2000–juillet 2008,AR(p),Ridge + Bagging,103,0.4828870916957867,0.6291759076687673,
2000–juillet 2008,LinearRegression,Ridge + Bagging,103,0.7592468960690477,0.44770487765219213,
août 2008–novembre 2019,AR(1),AR(p),136,0.15961941602409174,0.8731808833120676,
août 2008–novembre 2019,AR(1),LinearRegression,136,-0.14600819264661682,0.8839149209439612,
août 2008–novembre 2019,AR(1),Ridge + Bagging,136,-0.2826400752227685,0.7774527567669272,
août 2008–novembre 2019,AR(p),LinearRegression,136,-0.5449047954620533,0.5858189979354005,
août 2008–novembre 2019,AR(p),Ridge + Bagging,136,-0.8759969509300388,0.38103169135741366,
août 2008–novembre 2019,LinearRegression,Ridge + Bagging,136,-1.4820266598765892,0.13833320140940475,
décembre 2019–fin,AR(1),AR(p),69,0.43824704074479864,0.6612072118124974,
décembre 2019–fin,AR(1),LinearRegression,69,1.0149593648529096,0.3101251979828805,
décembre 2019–fin,AR(1),Ridge + Bagging,69,1.0220929887977332,0.3067368912334545,
décembre 2019–fin,AR(p),LinearRegression,69,0.9807260556420053,0.3267278513155212,
décembre 2019–fin,AR(p),Ridge + Bagging,69,0.985156580972617,0.3245471643174511,
décembre 2019–fin,LinearRegression,Ridge + Bagging,69,-0.7310745904941084,0.46473359367446543,
