periode,method,MAE,RMSE,Bias,R2
1990–1999,LightGBM + Bagging,0.4615431906407887,0.6094874037111911,0.004212378226297576,0.14353944809357355
1990–1999,AR(1),0.4810483967033066,0.6108585780278805,0.06462021485102144,0.13968152522218846
1990–1999,Ridge + Bagging,0.4883840989832855,0.6200947840468012,0.10662374622886554,0.11346874381627392
1990–1999,AR(p),0.4941890535569565,0.6094870851535993,0.07701054514719255,0.14354034337684918
1990–1999,LinearRegression,0.5302531607402927,0.6613407247834169,0.09744250326373523,-0.008389766049168745
2000–juillet 2008,LightGBM + Bagging,0.3729252249118673,0.544580699151174,-0.06657728731862976,0.2560235291264652
2000–juillet 2008,Ridge + Bagging,0.4252019226160649,0.6004572581404918,-0.05695345340582104,0.09552012520210063
2000–juillet 2008,LinearRegression,0.442817889884633,0.6307099905953976,-0.07939881402962969,0.002083666300773057
2000–juillet 2008,AR(p),0.45718435813469116,0.6101834441387384,-0.11207435277071989,0.0659813453636432
2000–juillet 2008,AR(1),0.49563320476597933,0.654647230200839,-0.0816103125517585,-0.0751012822512469
août 2008–novembre 2019,AR(p),0.800685363043154,1.1628606546051834,0.0939883638313843,0.20608661717840393
août 2008–novembre 2019,LightGBM + Bagging,0.8189940325198504,1.1362858369715927,0.07675900897035794,0.24195854411900064
août 2008–novembre 2019,AR(1),0.8236716812921432,1.26810203007041,0.11686916574785555,0.05588224375900719
août 2008–novembre 2019,LinearRegression,0.8519922638205428,1.1206076225910322,0.14332438997788582,0.2627327976051752
août 2008–novembre 2019,Ridge + Bagging,0.8806086249575046,1.1576531631981855,0.17886847608572662,0.2131812592635921
décembre 2019–fin,LinearRegression,1.865639959563623,3.064872972448216,-0.10979031031853785,0.028551661446548193
décembre 2019–fin,LightGBM + Bagging,1.875523068443413,2.875475215191087,-0.010520932971147368,0.14490570610002307
décembre 2019–fin,Ridge + Bagging,1.8948794092933383,3.093129511790511,-0.057682130645588296,0.010556589703729413
décembre 2019–fin,AR(p),2.283573088848887,4.231432472603207,0.18790591941009466,-0.8516955390497056
décembre 2019–fin,AR(1),2.3048784662264867,4.139216787962469,0.1153000855152129,-0.7718669063043588
