,variable,perm_score_ratio_mean,perm_score_ratio_std,n_windows,metric
0,USREC,1.11419671979298,0.09163625284336355,34,deviance_mse
1,INDPRO,1.0548204566482644,0.09406037481886204,34,deviance_mse
2,TB3MS,1.0287609341728492,0.03431865339700662,34,deviance_mse
3,CPIAUCSL,1.0079972498869758,0.012091865828753101,34,deviance_mse
4,DPCERA3M086SBEA,1.0058673846264015,0.00918498806834631,34,deviance_mse
5,OILPRICEx,1.004629284338625,0.01323068638829376,34,deviance_mse
6,BUSLOANS,1.0030013292866042,0.009128989140345793,34,deviance_mse
7,M2SL,0.9972083221024398,0.0185219881129282,34,deviance_mse
8,RPI,0.9936400700570739,0.03566467927378296,34,deviance_mse
9,S&P500,0.9675557349322707,0.019342457123361887,34,deviance_mse
