,variable,perm_score_ratio_mean,perm_score_ratio_std,n_windows,metric
0,UNRATE_lag12,1.127627826126611,0.07498686825019454,34,deviance_mse
1,USREC,1.1116267233705694,0.08549544859220952,34,deviance_mse
2,INDPRO,1.0299638321384432,0.10488209319608394,34,deviance_mse
3,M2SL,1.0186272313631224,0.04004082014587641,34,deviance_mse
4,DPCERA3M086SBEA,1.0049772169130502,0.005785353841012062,34,deviance_mse
5,BUSLOANS,1.0018773418007931,0.005891140103030371,34,deviance_mse
6,OILPRICEx,0.9987555815073482,0.003136132736925004,34,deviance_mse
7,CPIAUCSL,0.9970650233115312,0.013074841865049395,34,deviance_mse
8,TB3MS,0.9907172227764076,0.053809151529056014,34,deviance_mse
9,RPI,0.9878901087221548,0.02552796289869918,34,deviance_mse
10,S&P500,0.9352720648978042,0.03110282683598818,34,deviance_mse
