,variable,perm_score_ratio_mean,perm_score_ratio_std,n_windows,metric
0,USREC,1.0674825668084853,0.03677816001734009,34,mean_absolute_error
1,INDPRO,1.0317506055718395,0.040265200788157735,34,mean_absolute_error
2,TB3MS,1.020838865365576,0.01895224045114491,34,mean_absolute_error
3,RPI,1.0107535367075162,0.01973636109830096,34,mean_absolute_error
4,DPCERA3M086SBEA,1.0033068613010483,0.0053131039734592555,34,mean_absolute_error
5,OILPRICEx,1.003245300434194,0.007192446826600181,34,mean_absolute_error
6,BUSLOANS,1.0019141447069684,0.004018738775515373,34,mean_absolute_error
7,CPIAUCSL,1.001293916824602,0.006143865240526337,34,mean_absolute_error
8,M2SL,0.9961138623100603,0.006813321202800596,34,mean_absolute_error
9,S&P500,0.9779303829128222,0.012060691927312277,34,mean_absolute_error
