,variable,perm_score_ratio_mean,perm_score_ratio_std,n_windows,metric
0,USREC,1.360124819991317,0.20318362348922628,405,deviance_mse
1,RPI,1.0273497541580667,0.040869215942533364,405,deviance_mse
2,INDPRO,1.025533572016866,0.043310489093972795,405,deviance_mse
3,OILPRICEx,1.014073300125531,0.023673871463425263,405,deviance_mse
4,TB3MS,1.0092001775046946,0.013536342564177201,405,deviance_mse
5,BUSLOANS,1.004456819531294,0.005367515189895845,405,deviance_mse
6,M2SL,1.001227101910521,0.0063889944967235966,405,deviance_mse
7,CPIAUCSL,0.9944256392661457,0.016062946946418997,405,deviance_mse
8,DPCERA3M086SBEA,0.9917108384388914,0.010179519851147165,405,deviance_mse
9,S&P500,0.9448628568718429,0.05444625043291595,405,deviance_mse
