,variable,perm_score_ratio_mean,perm_score_ratio_std,n_windows,metric
0,USREC,1.3041237378459705,0.17030652377533384,405,deviance_mse
1,UNRATE_lag12,1.0318411353828663,0.038027061418421694,405,deviance_mse
2,INDPRO,1.0178008550397,0.05314546835450445,405,deviance_mse
3,OILPRICEx,1.012689989779063,0.021378909906531785,405,deviance_mse
4,TB3MS,1.0011943223328739,0.006141294634537401,405,deviance_mse
5,BUSLOANS,1.0009721938329332,0.00725685777405764,405,deviance_mse
6,M2SL,0.9989794746737568,0.0049449125698241,405,deviance_mse
7,DPCERA3M086SBEA,0.9954407161039237,0.010268857624139543,405,deviance_mse
8,CPIAUCSL,0.9952957564793616,0.01034386721284592,405,deviance_mse
9,RPI,0.9918616579031825,0.03141770384819269,405,deviance_mse
10,S&P500,0.9537784860927029,0.04713830091444885,405,deviance_mse
