,variable,perm_score_ratio_mean,perm_score_ratio_std,n_windows,metric
0,USREC,1.143734307193117,0.062167603314386276,405,mean_absolute_error
1,UNRATE_lag12,1.0227695643599655,0.021132552565848013,405,mean_absolute_error
2,OILPRICEx,1.0145203152897857,0.01872323714808752,405,mean_absolute_error
3,TB3MS,0.9999223453790556,0.004345198805157585,405,mean_absolute_error
4,M2SL,0.9999109608302545,0.0014077041028896196,405,mean_absolute_error
5,RPI,0.9994410511562103,0.015887979273322132,405,mean_absolute_error
6,INDPRO,0.9987972408735045,0.034184427486028963,405,mean_absolute_error
7,DPCERA3M086SBEA,0.9967047204387258,0.008157133184179243,405,mean_absolute_error
8,BUSLOANS,0.9961089474820874,0.0040170995130506875,405,mean_absolute_error
9,CPIAUCSL,0.9951087588590205,0.009731060962709604,405,mean_absolute_error
10,S&P500,0.9698465459887313,0.024556726636716077,405,mean_absolute_error
