,variable,perm_score_ratio_mean,perm_score_ratio_std,n_windows,metric
0,USREC,1.1181353571775607,0.04853157683144239,405,mean_absolute_error
1,INDPRO,1.0227506217336604,0.026120571923633658,405,mean_absolute_error
2,RPI,1.0215855754633045,0.017196651183795732,405,mean_absolute_error
3,OILPRICEx,1.0081220739404149,0.009812720847878579,405,mean_absolute_error
4,TB3MS,1.0060383067619165,0.009434328932387446,405,mean_absolute_error
5,BUSLOANS,1.0017669790937869,0.0027207324876932747,405,mean_absolute_error
6,DPCERA3M086SBEA,1.000836138104805,0.004311079700613105,405,mean_absolute_error
7,M2SL,0.9986746010734651,0.0014759683841285766,405,mean_absolute_error
8,CPIAUCSL,0.9948862516492553,0.010390171670487353,405,mean_absolute_error
9,S&P500,0.9606537101054876,0.013202968574272788,405,mean_absolute_error
