,variable,perm_score_ratio_mean,perm_score_ratio_std,n_windows,metric
0,USREC,1.2313365174935431,0.13827295411078874,405,deviance_mse
1,INDPRO,1.0475485172190253,0.05233352162751857,405,deviance_mse
2,RPI,1.0282595993476862,0.029928401591543197,405,deviance_mse
3,TB3MS,1.0140897114779144,0.020110775142838724,405,deviance_mse
4,BUSLOANS,1.0091378039572003,0.005576467619411863,405,deviance_mse
5,OILPRICEx,1.0053485555157422,0.009912239716745928,405,deviance_mse
6,DPCERA3M086SBEA,1.0007419599081515,0.005694559368273185,405,deviance_mse
7,M2SL,0.9960999135971617,0.004269666779737412,405,deviance_mse
8,CPIAUCSL,0.9950679850820661,0.011708235464765297,405,deviance_mse
9,S&P500,0.9478391926303186,0.0346570618782609,405,deviance_mse
