feature,abs_mean,share
TB3MS,0.1422135390687297,0.2631648726802841
USREC,0.11601052138226739,0.21467642454480462
S&P500,0.08450442730506735,0.15637468132981902
INDPRO,0.05860499699952155,0.10844801890735538
M2SL,0.038556585144910914,0.07134861340974889
RPI,0.025828147784959392,0.047794754760385236
BUSLOANS,0.024176031415570037,0.0447375283046591
DPCERA3M086SBEA,0.0224855043626117,0.041609223225074876
CPIAUCSL,0.01763113662888453,0.03262625947243109
OILPRICEx,0.010386229098621262,0.019219623365437574
