feature,abs_mean,share
USREC,0.15248155909952707,0.2767736492379173
INDPRO,0.1171773365292859,0.21269194275500136
S&P500,0.06749269307195854,0.12250792206438427
TB3MS,0.056716769604744095,0.10294823445663404
OILPRICEx,0.04867084070032727,0.08834383824285483
CPIAUCSL,0.035858506245202856,0.06508780267145252
DPCERA3M086SBEA,0.02935875434167058,0.05328991665752792
BUSLOANS,0.026016095170953827,0.04722256016995423
RPI,0.011570958924623252,0.021002779258439245
M2SL,0.005581617802285965,0.01013135448583436
