feature,shap_abs_mean,shap_abs_std,n_windows
USREC,0.10666760279336103,0.04366874470214005,35
TB3MS,0.09484360954880512,0.035466694621749846,35
RPI,0.09373990213780316,0.03302329909348604,35
INDPRO,0.08405217999835332,0.04357198391016356,35
S&P500,0.05817648886701956,0.022830123360792,35
M2SL,0.03121587378979612,0.022837995637414794,35
CPIAUCSL,0.017625846255855945,0.012362802677448614,35
BUSLOANS,0.015557439360898331,0.01143218082994546,35
OILPRICEx,0.012451413423145421,0.01704880842595671,35
DPCERA3M086SBEA,0.009674266109140822,0.010562576022524724,35
