feature,shap_abs_mean,shap_abs_std,n_windows
UNRATE_lag12,0.1650342309329808,0.056908022665814045,35
TB3MS,0.1255679440219669,0.03477353045391116,35
USREC,0.10438324104345773,0.046133865186426835,35
INDPRO,0.09141449135182218,0.038734199566282344,35
S&P500,0.08529989354285886,0.025745042373043467,35
RPI,0.06877463646688062,0.033993410003002274,35
M2SL,0.04238352546870671,0.021460821866321502,35
CPIAUCSL,0.016877568149182336,0.007582138791564755,35
BUSLOANS,0.008408930027897273,0.010737448335005692,35
DPCERA3M086SBEA,0.005008583266609535,0.0060685879196630006,35
OILPRICEx,0.0036741716282777228,0.0064947768170840366,35
