feature,shap_abs_mean,shap_abs_std,n_windows
USREC,0.24319701581988634,0.0901962340528094,417
S&P500,0.14572617887799436,0.03100979311362132,417
RPI,0.12905048281146883,0.03905633210975989,417
INDPRO,0.06762475084463918,0.0371676730545057,417
CPIAUCSL,0.03905962586636398,0.014862552526067555,417
OILPRICEx,0.03900232608164129,0.02492654945289815,417
BUSLOANS,0.02695813211356459,0.009676334223669137,417
TB3MS,0.024945604447691266,0.014969734575317535,417
DPCERA3M086SBEA,0.02446690637558586,0.00854686974252232,417
M2SL,0.016947100287021035,0.012308546778402476,417
