feature,shap_abs_mean,shap_abs_std,n_windows
UNRATE_lag12,0.1859833512815602,0.030563096591546345,35
TB3MS,0.12288531651460761,0.030549699051998457,35
USREC,0.12005423621470468,0.03506983614527754,35
INDPRO,0.10546747371339867,0.0299775901312142,35
S&P500,0.09647281008211424,0.020614236522402195,35
RPI,0.06767549088220623,0.028836261512088845,35
M2SL,0.04091992004398209,0.018137058908107268,35
CPIAUCSL,0.020110899862140375,0.008174061864346618,35
BUSLOANS,0.009229868815512788,0.01018776897327896,35
DPCERA3M086SBEA,0.005414637556818421,0.005720986185568117,35
OILPRICEx,0.0036367216492122845,0.005288986077067937,35
