feature,shap_abs_mean,shap_abs_std,n_windows
USREC,0.25552554142326434,0.09568410158494811,417
S&P500,0.148760075331631,0.030194408959963854,417
RPI,0.12361973936326842,0.03514433989306339,417
UNRATE_lag12,0.09810290561001424,0.052540378884483166,417
INDPRO,0.09326171209593778,0.035930523666360854,417
BUSLOANS,0.0399496658147202,0.015689065994785843,417
OILPRICEx,0.03538466605978751,0.02491546092638663,417
DPCERA3M086SBEA,0.025659987281215393,0.00978168074084328,417
CPIAUCSL,0.022438235206296907,0.014110048480104213,417
TB3MS,0.016112920186104693,0.014371224179882344,417
M2SL,0.012496650518647191,0.01122171705021473,417
