model,feature,shap_abs_mean,shap_abs_std,n_windows,cv
LINREG,USREC,0.24319701581988634,0.0901962340528094,417,0.3708772237551198
LINREG,S&P500,0.14572617887799436,0.03100979311362132,417,0.21279493741192174
LINREG,RPI,0.12905048281146883,0.03905633210975989,417,0.3026438278949927
LINREG,INDPRO,0.06762475084463918,0.0371676730545057,417,0.549616413964978
LINREG,CPIAUCSL,0.03905962586636398,0.014862552526067555,417,0.38050934171559425
LINREG,OILPRICEx,0.03900232608164129,0.02492654945289815,417,0.6391041754976577
LINREG,BUSLOANS,0.02695813211356459,0.009676334223669137,417,0.3589393427892681
LINREG,TB3MS,0.024945604447691266,0.014969734575317535,417,0.600095083152134
LINREG,DPCERA3M086SBEA,0.02446690637558586,0.00854686974252232,417,0.3493236787406338
LINREG,M2SL,0.016947100287021035,0.012308546778402476,417,0.7262922016121541
LINREG_LAGS,USREC,0.25552554142326434,0.09568410158494811,417,0.3744600287391722
LINREG_LAGS,S&P500,0.148760075331631,0.030194408959963854,417,0.20297387516543955
LINREG_LAGS,RPI,0.12361973936326842,0.03514433989306339,417,0.2842939167650919
LINREG_LAGS,UNRATE_lag12,0.09810290561001424,0.052540378884483166,417,0.535563942349939
LINREG_LAGS,INDPRO,0.09326171209593778,0.035930523666360854,417,0.38526553779539596
LINREG_LAGS,BUSLOANS,0.0399496658147202,0.015689065994785843,417,0.3927208319476082
LINREG_LAGS,OILPRICEx,0.03538466605978751,0.02491546092638663,417,0.7041315829938414
LINREG_LAGS,DPCERA3M086SBEA,0.025659987281215393,0.00978168074084328,417,0.3812036472833344
LINREG_LAGS,CPIAUCSL,0.022438235206296907,0.014110048480104213,417,0.6288394942996439
LINREG_LAGS,TB3MS,0.016112920186104693,0.014371224179882344,417,0.8919068681464495
LINREG_LAGS,M2SL,0.012496650518647191,0.01122171705021473,417,0.8979779848584197
RIDGE,USREC,0.15579210377402433,0.04982827302262469,417,0.3198382447861437
RIDGE,RPI,0.09635103771481508,0.035175356742961815,417,0.3650750171168442
RIDGE,S&P500,0.08876645328821592,0.01906015452417155,417,0.21472249727366158
RIDGE,INDPRO,0.07483850904981562,0.02187213033748462,417,0.292257697476651
RIDGE,TB3MS,0.030478233783583965,0.011438154205719487,417,0.37528927322160804
RIDGE,CPIAUCSL,0.029205174007189853,0.00974024807080119,417,0.33351104391308517
RIDGE,BUSLOANS,0.025801681240475313,0.009751511283027911,417,0.3779409253274021
RIDGE,OILPRICEx,0.02095532932000628,0.011339554785439498,417,0.5411298773822419
RIDGE,M2SL,0.01147644487718813,0.0073248667066914495,417,0.6382522449309347
RIDGE,DPCERA3M086SBEA,0.007318741541625444,0.008825813527434112,417,1.2059195528680955
RIDGE_LAGS,USREC,0.1689440081986959,0.05672006039113287,417,0.3357328916005362
RIDGE_LAGS,RPI,0.09735024924025944,0.03574716579147821,417,0.3672015846950177
RIDGE_LAGS,S&P500,0.09345942079349513,0.02156765786764738,417,0.2307702924384966
RIDGE_LAGS,INDPRO,0.08574369479182174,0.02359577254255844,417,0.2751895938219939
RIDGE_LAGS,UNRATE_lag12,0.07196124043303952,0.04350755751057858,417,0.6045971032289624
RIDGE_LAGS,BUSLOANS,0.03383591125461166,0.013739116296335662,417,0.4060513160987526
RIDGE_LAGS,TB3MS,0.026560417260570342,0.011415758809516143,417,0.4298034438812505
RIDGE_LAGS,CPIAUCSL,0.02349050251066829,0.010973363915697813,417,0.4671404500910197
RIDGE_LAGS,OILPRICEx,0.02133196471664507,0.011916788029766283,417,0.5586352775310827
RIDGE_LAGS,M2SL,0.012161155776058556,0.0061583269830968995,417,0.5063932323949575
RIDGE_LAGS,DPCERA3M086SBEA,0.007256674569780468,0.008418274723395357,417,1.1600733424718026
LGBM,USREC,0.11878680540927104,0.0311789207865206,35,0.26247798043811316
LGBM,TB3MS,0.096225916626835,0.030140315897810667,35,0.3132245132534834
LGBM,INDPRO,0.09612810956412632,0.034909728999269335,35,0.3631583847592605
LGBM,RPI,0.09173005133177997,0.029306350345409106,35,0.3194847263238791
LGBM,S&P500,0.06773804805688208,0.0216286755394869,35,0.31929877166410997
LGBM,M2SL,0.034321722471859765,0.01875454610921617,35,0.5464337089897788
LGBM,CPIAUCSL,0.019923562922998003,0.013105376196904587,35,0.6577827594168358
LGBM,BUSLOANS,0.016181192714660002,0.01134888458260444,35,0.7013626734896039
LGBM,OILPRICEx,0.011399306839103018,0.015260119541530568,35,1.338688374382889
LGBM,DPCERA3M086SBEA,0.010003697008981793,0.01047561416557803,35,1.047174275287679
LGBM_LAGS,UNRATE_lag12,0.1859833512815602,0.030563096591546345,35,0.1643324328814619
LGBM_LAGS,TB3MS,0.12288531651460761,0.030549699051998457,35,0.2486033312887057
LGBM_LAGS,USREC,0.12005423621470468,0.03506983614527754,35,0.2921166070521555
LGBM_LAGS,INDPRO,0.10546747371339867,0.0299775901312142,35,0.2842354052461373
LGBM_LAGS,S&P500,0.09647281008211424,0.020614236522402195,35,0.21367923775472164
LGBM_LAGS,RPI,0.06767549088220623,0.028836261512088845,35,0.4260960819963657
LGBM_LAGS,M2SL,0.04091992004398209,0.018137058908107268,35,0.443232999688488
LGBM_LAGS,CPIAUCSL,0.020110899862140375,0.008174061864346618,35,0.4064493344594012
LGBM_LAGS,BUSLOANS,0.009229868815512788,0.01018776897327896,35,1.1037826405675686
LGBM_LAGS,DPCERA3M086SBEA,0.005414637556818421,0.005720986185568117,35,1.0565778642679278
LGBM_LAGS,OILPRICEx,0.0036367216492122845,0.005288986077067937,35,1.454327987464626
