feature,LGBM,LGBM_LAGS,LINREG,LINREG_LAGS,RIDGE,RIDGE_LAGS
BUSLOANS,0.01134888458260444,0.01018776897327896,0.009676334223669137,0.015689065994785843,0.009751511283027911,0.013739116296335662
CPIAUCSL,0.013105376196904587,0.008174061864346618,0.014862552526067555,0.014110048480104213,0.00974024807080119,0.010973363915697813
DPCERA3M086SBEA,0.01047561416557803,0.005720986185568117,0.00854686974252232,0.00978168074084328,0.008825813527434112,0.008418274723395357
INDPRO,0.034909728999269335,0.0299775901312142,0.0371676730545057,0.035930523666360854,0.02187213033748462,0.02359577254255844
M2SL,0.01875454610921617,0.018137058908107268,0.012308546778402476,0.01122171705021473,0.0073248667066914495,0.0061583269830968995
OILPRICEx,0.015260119541530568,0.005288986077067937,0.02492654945289815,0.02491546092638663,0.011339554785439498,0.011916788029766283
RPI,0.029306350345409106,0.028836261512088845,0.03905633210975989,0.03514433989306339,0.035175356742961815,0.03574716579147821
S&P500,0.0216286755394869,0.020614236522402195,0.03100979311362132,0.030194408959963854,0.01906015452417155,0.02156765786764738
TB3MS,0.030140315897810667,0.030549699051998457,0.014969734575317535,0.014371224179882344,0.011438154205719487,0.011415758809516143
UNRATE_lag12,,0.030563096591546345,,0.052540378884483166,,0.04350755751057858
USREC,0.0311789207865206,0.03506983614527754,0.0901962340528094,0.09568410158494811,0.04982827302262469,0.05672006039113287
