feature,shap_min,shap_q25,shap_median,shap_q75,shap_max,n_points
OILPRICEx,-0.004741678261628761,-0.004741678261628761,-0.004741678261628761,-0.004741678261628761,0.21019131322322723,409
BUSLOANS,-0.011828245880532202,-0.011828245880532202,-0.011828245880532202,-0.011828245880532202,0.5296572363071158,409
CPIAUCSL,-0.012244967731992408,-0.012244967731992408,-0.012244967731992408,-0.008303250255492825,0.14067239516130664,409
DPCERA3M086SBEA,-0.014032290494818115,-0.014032290494818115,-0.014032290494818115,-0.014032290494818115,0.214335078426411,409
RPI,-0.016094433564299362,-0.016094433564299362,-0.016094433564299362,0.028786246598298065,0.38780460741743245,409
M2SL,-0.02027679652947905,-0.02027679652947905,-0.02027679652947905,-0.02027679652947905,1.0500655894748687,409
INDPRO,-0.0397445884292885,-0.0397445884292885,-0.0397445884292885,-0.0397445884292885,0.7034781645703962,409
S&P500,-0.05045754770145753,-0.05045754770145753,-0.05045754770145753,-0.048796391465861115,0.49191851246067253,409
USREC,-0.0792647063672073,-0.0792647063672073,-0.0792647063672073,-0.07553094993367312,0.5422884260480654,409
TB3MS,-0.12202923967457338,-0.12202923967457338,-0.1168937960833264,0.17234940626810047,0.4004631945947958,409
