feature,shap_min,shap_q25,shap_median,shap_q75,shap_max,n_points
S&P500,-0.2612791768603084,-0.028641979233723074,0.018047390582496745,0.057828649615837155,0.17921858712815858,417
OILPRICEx,-0.19597902792379024,-0.03533680020824062,0.006729534453036363,0.039307640279816244,0.21630539754209385,417
RPI,-0.055639549904770706,-0.006927910418674018,0.0010329510379972716,0.008198043756910234,0.05202599731913988,417
BUSLOANS,-0.09866864376237945,-0.0170803341860495,0.00025979861939935927,0.022287850052094084,0.1042605593974002,417
CPIAUCSL,-0.14949471642676834,-0.026118061778280882,-3.8560458308272637e-05,0.02602959483193083,0.1511121308039835,417
M2SL,-0.02439621319002961,-0.005662718552189209,-0.0015328200740121424,0.002644754626298843,0.0197590622111638,417
DPCERA3M086SBEA,-0.17095948380106182,-0.024603762421689688,-0.002782622178972789,0.019731746876723834,0.1349974428087292,417
TB3MS,-0.318887130927111,-0.04193568807039815,-0.010123698012532538,0.010460530848439342,0.3154813766973866,417
INDPRO,-0.49021664510161933,-0.11099376398729122,-0.04017294472056144,0.04124601740334669,0.7229916135447113,417
USREC,-0.0850000071731845,-0.0850000071731845,-0.0850000071731845,-0.0850000071731845,0.6233333859366863,417
