,Linear regression,Linear regression,Linear regression,Linear regression,Ridge regression,Ridge regression,Ridge regression,Ridge regression,LightGBM,LightGBM,LightGBM,LightGBM
,βˢ,p-value,sig,Γˢ,βˢ,p-value,sig,Γˢ,βˢ,p-value,sig,Γˢ
USREC,0.9071,0.0467,**,0.2687,1.4422,0.0467,**,0.2592,3.5557,0.0,***,0.2136
INDPRO,0.2541,0.7442,,0.1861,0.3296,0.7442,,0.2201,1.6249,0.0797,*,0.0892
S&P500,-0.8265,0.0453,**,0.1532,-1.6152,0.0453,**,0.1203,-0.2233,0.7724,,0.1469
OILPRICEx,0.0828,0.9223,,0.1094,0.1493,0.9223,,0.0931,-7.2952,0.0064,***,0.0217
TB3MS,0.6347,0.5411,,0.0742,0.7016,0.5411,,0.103,1.3812,0.0142,**,0.2877
RPI,-0.0808,0.9549,,0.0701,-0.3923,0.9549,,0.0221,-6.2978,0.0014,***,0.0562
CPIAUCSL,-0.8189,0.4059,,0.066,-1.2255,0.4059,,0.0677,-1.1819,0.5583,,0.0304
DPCERA3M086SBEA,4.5957,0.1184,,0.0286,3.6315,0.1184,,0.0556,-1.8531,0.3055,,0.0495
M2SL,-1.3647,0.5797,,0.027,5.1167,0.5797,,0.011,-3.0372,0.0801,*,0.0661
BUSLOANS,18.2217,0.0011,***,0.0166,9.7031,0.0011,***,0.0479,-0.917,0.5001,,0.0389
